,Movie Titles,Release Month,Release Day,Distributor,Genre,MPAA Rating,Running Time (Min),2022 Gross,Tickets Sold
297,Benedetta,Dec,3,IFC Films,Drama,N/A,131,18431,2009
298,Lost Highway,Feb,21,October Films,Thriller/Suspense,R,134,18028,1965
299,The Scary of Sixty First,Dec,3,Utopia,Horror,N/A,81,17689,1929
300,Beba,Jun,24,Neon,Documentary,R,79,16254,1772
301,Slash/Back,Jun,24,Mongrel Media,Thriller/Suspense,N/A,87,16247,1771
302,Rite of the Shaman,May,27,Purdie Distribution,Drama,Not Yet Rated,69,16221,1768
303,Hudaâs Salon,Mar,4,IFC Films,Thriller/Suspense,R,90,16128,1758
304,Claydream,Aug,5,Oscilloscope Pict…,Documentary,N/A,N/A,16093,1754
305,Wildhood,Mar,11,Mongrel Media,Drama,N/A,99,15998,1744
306,"Costa Brava, Lebanon",Jul,15,Kino Lorber,Drama,N/A,107,15980,1742
307,Sirens,Sep,30,Oscilloscope Pict…,Documentary,N/A,79,15978,1742
308,She Will,Jul,15,IFC Midnight,Thriller/Suspense,N/A,95,15011,1636
309,Cat Daddies,Oct,14,Gray Hat Productions,Documentary,N/A,89,14586,1590
310,Bad Luck Banging or Loony Porn,Nov,19,Magnolia Pictures,Comedy,N/A,106,14576,1589
311,Â¡Viva Maestro!,Apr,8,Greenwich,Documentary,N/A,99,14310,1560
312,Writing With Fire,Nov,26,Music Box Films,Documentary,N/A,98,14112,1538
313,Punch 9 for Harold Washington,Sep,23,Tallgrass Films,Documentary,N/A,105,13339,1454
314,The Tale of King Crab,Apr,15,Oscilloscope Pict…,Drama,N/A,105,12896,1406
315,Life & Life,Oct,14,Indican Pictures,Documentary,N/A,N/A,12522,1365
316,Olga,Jun,24,Kino Lorber,Drama,N/A,87,12494,1362
317,The Wobblies,Mar,18,First Run Features,Documentary,N/A,89,12232,1333
318,Shortbus,Oct,4,ThinkFilm,Comedy,Not Rated,101,12205,1330
319,Clara Sola,Jul,1,Oscilloscope Pict…,Drama,N/A,108,12076,1316
320,Fire in the Mountains,May,20,Kino Lorber,Drama,N/A,82,12038,1312
321,Laleh Drive,Mar,18,Integrity Releasing,Action,N/A,120,11920,1299
322,Pretty Problems,Oct,7,IFC Films,Comedy,N/A,106,11400,1243
323,Medusa,Jul,29,Music Box Films,Thriller/Suspense,N/A,129,11098,1210
324,Barbarians,Apr,1,IFC Midnight,Thriller/Suspense,N/A,89,10742,1171
325,Distant,Mar,12,New Yorker,Drama,Not Rated,110,10580,1153
326,Stunt Rock,May,9,N/A,Action,N/A,86,9530,1039
327,The Torch,Mar,18,IFC Films,Documentary,N/A,109,9459,1031
328,Learn to Swim,Mar,25,Mongrel Media,Drama,N/A,N/A,9294,1013
329,Julia,Nov,12,Sony Pictures Cla…,Documentary,PG-13,95,9246,1008
330,In Front of Your Face,May,6,Cinema Guild,Drama,N/A,85,9150,997
331,Almaâs Rainbow,Jun,23,Xenon Pictures,Comedy,N/A,N/A,9006,982
332,About Fate,Sep,9,United Artists,Romantic Comedy,R,100,8688,947
333,Burial,Sep,2,IFC Midnight,Thriller/Suspense,N/A,95,8566,934
